 par_1      , par_2      , par_3      , par_4      , par_5      , par_6      , par_7      , par_8      , par_9      , par_10     , par_11     , par_12     , par_13     , par_14     , par_15     , par_16     , par_17     , par_18     , par_19     , par_20     , par_21     , par_22     , par_23     , par_24     , par_25     , par_26     , par_27     , par_28     , par_29     , par_30     , par_31     , par_32     , par_33     , par_34     , par_35     , par_36     , par_37     , par_38     , par_39     , par_40     , par_41     , par_42     , par_43     , par_44     , par_45     , par_46     , par_47     , par_48     , par_49     , par_50     , par_51     , par_52     , par_53     , par_54     , par_55     , par_56     , par_57     , par_58     , par_59     , par_60     , par_61     , par_62     , par_63     , par_64     , f_value    
 +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.4124e-01, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +2.7150e-02, +0.0000e+00, +6.4541e-01, +0.0000e+00, +0.0000e+00, +6.7073e-02, +0.0000e+00, +2.4076e-17, +2.7336e-01, +0.0000e+00, +0.0000e+00, +0.0000e+00, +4.1444e-01, +0.0000e+00, +0.0000e+00, +1.7015e-01, +5.0555e-01, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +3.9210e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.2475e+00, +0.0000e+00, +1.2195e-02, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.2841e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +7.2157e-01, +0.0000e+00, +5.9676e-01, +0.0000e+00, +1.0000e+06
 +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +6.7073e-02, +0.0000e+00, +1.5745e-01, +0.0000e+00, +0.0000e+00, +6.4541e-01, +0.0000e+00, +0.0000e+00, +6.7073e-02, +0.0000e+00, +3.9987e-02, +0.0000e+00, +0.0000e+00, +3.5568e-01, +1.1582e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.7015e-01, +5.0555e-01, +0.0000e+00, +0.0000e+00, +3.6910e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +3.9210e+00, +2.5994e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +2.6209e+00, +1.2195e-02, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.2841e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +7.2157e-01, +1.6946e+00, +5.9676e-01, +0.0000e+00, +1.0000e+06
 +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +4.2757e-01, +0.0000e+00, +0.0000e+00, +1.5745e-01, +0.0000e+00, +0.0000e+00, +6.4541e-01, +0.0000e+00, +0.0000e+00, +6.7073e-02, +0.0000e+00, +3.9987e-02, +0.0000e+00, +0.0000e+00, +3.5568e-01, +1.1582e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.7015e-01, +5.0555e-01, +0.0000e+00, +0.0000e+00, +3.6910e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.1141e+00, +2.5994e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.2195e-02, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.2841e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +7.2157e-01, +1.6946e+00, +2.0288e-01, +0.0000e+00, +1.0000e+06
 +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +4.2757e-01, +0.0000e+00, +0.0000e+00, +1.5745e-01, +0.0000e+00, +0.0000e+00, +6.4541e-01, +0.0000e+00, +0.0000e+00, +6.7073e-02, +0.0000e+00, +3.9987e-02, +0.0000e+00, +0.0000e+00, +3.5568e-01, +1.1582e+00, +4.1444e-01, +0.0000e+00, +0.0000e+00, +1.7015e-01, +5.0555e-01, +0.0000e+00, +0.0000e+00, +3.6910e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +3.9210e+00, +2.5994e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +2.6209e+00, +1.2195e-02, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.2841e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +7.2157e-01, +1.6946e+00, +1.6557e-01, +0.0000e+00, +1.0000e+06
 +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.5745e-01, +0.0000e+00, +0.0000e+00, +6.4541e-01, +0.0000e+00, +0.0000e+00, +6.7073e-02, +0.0000e+00, +3.9987e-02, +0.0000e+00, +0.0000e+00, +3.5568e-01, +1.1582e+00, +4.1444e-01, +0.0000e+00, +0.0000e+00, +1.7015e-01, +5.0555e-01, +0.0000e+00, +0.0000e+00, +3.6910e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +2.5994e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +2.6209e+00, +1.2195e-02, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.2841e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +7.2157e-01, +1.6946e+00, +5.9676e-01, +0.0000e+00, +1.0000e+06
 +0.0000e+00, +7.7985e-03, +1.3981e-13, +1.4124e-01, +0.0000e+00, +0.0000e+00, +1.0077e-12, +9.9520e-13, +0.0000e+00, +1.5745e-01, +2.7150e-02, +0.0000e+00, +3.9022e-12, +0.0000e+00, +0.0000e+00, +3.3078e-12, +0.0000e+00, +3.9987e-02, +2.2568e-11, +0.0000e+00, +3.5568e-01, +1.2880e-10, +1.8414e-12, +2.4390e-02, +0.0000e+00, +1.4204e-13, +5.0555e-01, +0.0000e+00, +0.0000e+00, +3.6910e+00, +1.7759e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +3.9210e+00, +7.8904e-11, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.2475e+00, +2.6209e+00, +1.2195e-02, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.2841e+00, +7.6106e-12, +5.8344e-02, +0.0000e+00, +0.0000e+00, +5.1037e-01, +0.0000e+00, +7.2157e-01, +1.6946e+00, +1.0547e-12, +1.3967e-13, +1.0000e+06
 +0.0000e+00, +7.7985e-03, +1.8181e-13, +1.4124e-01, +0.0000e+00, +0.0000e+00, +6.3324e-14, +1.4495e-13, +0.0000e+00, +1.5745e-01, +2.7150e-02, +0.0000e+00, +2.0067e-13, +0.0000e+00, +0.0000e+00, +9.7336e-14, +0.0000e+00, +3.9987e-02, +1.6132e-12, +0.0000e+00, +3.5568e-01, +1.1582e+00, +1.8795e-13, +2.4390e-02, +0.0000e+00, +8.4961e-14, +5.0555e-01, +0.0000e+00, +0.0000e+00, +3.6910e+00, +1.7759e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.1431e-01, +5.5696e-13, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.2475e+00, +2.6209e+00, +1.2195e-02, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.2841e+00, +2.0559e-12, +3.4413e-14, +0.0000e+00, +0.0000e+00, +5.1037e-01, +0.0000e+00, +7.2157e-01, +1.6946e+00, +5.9830e-13, +6.8445e-15, +1.0000e+06
 +0.0000e+00, +2.0980e-14, +1.4458e-13, +1.4124e-01, +0.0000e+00, +0.0000e+00, +2.6985e-13, +5.3801e-14, +0.0000e+00, +8.4676e-14, +2.7150e-02, +0.0000e+00, +6.4541e-01, +0.0000e+00, +0.0000e+00, +6.7073e-02, +0.0000e+00, +7.0449e-14, +2.7336e-01, +0.0000e+00, +3.5386e-14, +1.1582e+00, +4.1444e-01, +4.0324e-14, +0.0000e+00, +1.7015e-01, +5.0555e-01, +0.0000e+00, +0.0000e+00, +1.3579e-12, +4.6315e-12, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +3.9210e+00, +6.2886e-12, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.2475e+00, +1.3328e-12, +1.2195e-02, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.2841e+00, +6.2081e-13, +3.9212e-14, +0.0000e+00, +0.0000e+00, +1.5225e-13, +0.0000e+00, +7.2157e-01, +7.5506e-13, +5.9676e-01, +7.3536e-15, +1.0000e+06
 +0.0000e+00, +7.7985e-03, +3.9507e-11, +1.4124e-01, +0.0000e+00, +0.0000e+00, +1.6575e-12, +2.5377e-13, +0.0000e+00, +1.5745e-01, +2.7150e-02, +0.0000e+00, +7.4899e-12, +0.0000e+00, +0.0000e+00, +5.7966e-14, +0.0000e+00, +3.9987e-02, +2.0382e-10, +0.0000e+00, +3.5568e-01, +1.1582e+00, +1.1540e-12, +2.4390e-02, +0.0000e+00, +1.2034e-12, +5.0555e-01, +0.0000e+00, +0.0000e+00, +3.6910e+00, +1.7759e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +3.9210e+00, +1.1434e-11, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.2475e+00, +2.6209e+00, +1.2195e-02, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.2841e+00, +2.5279e-11, +5.8344e-02, +0.0000e+00, +0.0000e+00, +5.1037e-01, +0.0000e+00, +7.2157e-01, +1.6946e+00, +8.6294e-11, +3.6126e-13, +1.0000e+06
 +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.4124e-01, +0.0000e+00, +0.0000e+00, +0.0000e+00, +6.7073e-02, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +6.4541e-01, +0.0000e+00, +0.0000e+00, +6.7073e-02, +0.0000e+00, +3.9987e-02, +0.0000e+00, +0.0000e+00, +3.5568e-01, +0.0000e+00, +4.1444e-01, +0.0000e+00, +0.0000e+00, +1.7015e-01, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.7759e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +2.5994e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.2475e+00, +9.2702e-12, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +7.2157e-01, +1.6946e+00, +0.0000e+00, +2.5225e-02, +1.0000e+06
 +0.0000e+00, +0.0000e+00, +4.8376e-01, +0.0000e+00, +0.0000e+00, +0.0000e+00, +4.2757e-01, +6.7073e-02, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +6.4541e-01, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +3.9987e-02, +2.7336e-01, +0.0000e+00, +3.5568e-01, +0.0000e+00, +4.1444e-01, +0.0000e+00, +0.0000e+00, +0.0000e+00, +5.0555e-01, +0.0000e+00, +0.0000e+00, +3.6910e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +3.9210e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +2.6209e+00, +1.2195e-02, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.7870e+00, +5.8344e-02, +0.0000e+00, +0.0000e+00, +5.1037e-01, +0.0000e+00, +7.2157e-01, +0.0000e+00, +0.0000e+00, +2.5225e-02, +1.0000e+06
 +0.0000e+00, +2.9663e-03, +3.1181e-01, +2.4072e-02, +0.0000e+00, +0.0000e+00, +2.0616e-01, +5.1999e-02, +0.0000e+00, +1.5254e-01, +1.6400e-02, +0.0000e+00, +8.0249e-02, +0.0000e+00, +0.0000e+00, +3.3083e-02, +0.0000e+00, +5.8038e-03, +2.7292e-01, +0.0000e+00, +5.6599e-02, +9.1080e-01, +1.2276e-01, +2.4272e-02, +0.0000e+00, +1.0988e-01, +2.6522e-02, +0.0000e+00, +0.0000e+00, +5.6164e-01, +7.4408e-01, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +4.0731e-02, +2.4162e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +1.0602e+00, +2.5485e+00, +6.8265e-03, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +0.0000e+00, +8.5754e-01, +2.8128e-01, +1.5953e-02, +0.0000e+00, +0.0000e+00, +3.5514e-01, +0.0000e+00, +2.5120e-01, +1.4930e+00, +1.9143e-02, +2.1942e-02, +1.0000e+06
