 par_1      , par_2      , par_3      , par_4      , par_5      , par_6      , par_7      , f_value    
 +3.7234e-01, +1.9083e-01, -8.2328e-04, +1.0238e-01, +1.9540e-01, -5.0241e-01, +2.2703e-01, -1.6673e+01
 +9.8548e-15, +1.1521e+00, -1.5131e-03, +5.4003e-01, +8.5234e-02, -6.1341e-01, +3.7601e-01, -1.6673e+01
 +1.0785e+00, +2.5027e-01, -2.9890e-05, +1.6069e-01, +1.4413e-01, -3.1099e-01, +4.0797e-02, -1.6673e+01
 +1.3358e+00, +7.0827e-01, -1.5053e-03, +2.2645e-01, +2.7278e-02, -2.3673e-01, +9.0667e-02, -1.6673e+01
 +1.0881e+00, +1.1521e+00, -5.9952e-05, +1.8411e-01, +1.0958e-01, -1.1103e-01, +3.6721e-01, -1.6673e+01
 +2.5430e+00, +4.2027e-01, -6.9700e-04, +5.4584e-11, +3.4430e-02, -2.5779e-01, +4.9291e-01, -1.6673e+01
 +0.0000e+00, +1.1521e+00, -1.5131e-03, +0.0000e+00, +1.8623e-01, -3.9672e-01, +3.9974e-01, -1.6673e+01
 +1.7310e+00, +4.6484e-01, -4.6603e-04, +4.4708e-01, +6.1767e-02, -5.3761e-01, +3.0473e-01, -1.6673e+01
 +1.2003e+00, +3.8380e-01, -8.6928e-04, +2.8454e-01, +1.4456e-01, -5.2192e-02, +2.4504e-01, -1.6673e+01
 +4.1690e-01, +1.1521e+00, -2.4420e-04, +1.7976e-01, +8.1026e-02, +0.0000e+00, +3.6414e-01, -1.6673e+01
 +8.8123e-01, +1.0614e+00, -1.0923e-04, +2.7533e-02, +4.8024e-02, -2.2622e-01, +2.9556e-01, -1.6673e+01
 +9.2695e-01, +8.5393e-01, -1.5891e-04, +6.1854e-02, +8.9559e-02, -2.1000e-01, +2.6101e-01, -1.6673e+01
 +5.1387e-01, +1.0612e+00, -2.4943e-04, +6.2965e-02, +8.4598e-02, -1.4824e-01, +3.1631e-01, -1.6673e+01
 +2.6808e-01, +7.1093e-01, -1.5131e-03, +1.1919e-01, +2.1744e-01, -4.2888e-01, +1.6002e-01, -1.6673e+01
 +2.5430e+00, +1.0925e-13, -7.8359e-04, +3.9697e-01, +1.0374e-01, -1.2906e-01, +3.9096e-01, -1.6673e+01
 +5.8878e-01, +9.1607e-02, -1.5131e-03, +5.4003e-01, +0.0000e+00, -5.6060e-01, +2.5069e-01, -1.6673e+01
 +2.5429e+00, +2.2773e-04, -6.1624e-04, +5.1612e-01, +1.3005e-01, -2.0569e-01, +3.4719e-01, -1.6673e+01
 +2.5430e+00, +0.0000e+00, -6.2743e-04, +3.7169e-01, +1.3476e-01, -1.7251e-01, +2.6939e-01, -1.6673e+01
 +2.5430e+00, +8.0998e-02, -1.0772e-05, +3.9267e-01, +1.3883e-01, -6.1341e-01, +8.4387e-02, -1.6673e+01
 +2.5430e+00, +1.1521e+00, -1.5131e-03, +7.9796e-02, +2.1744e-01, -6.1341e-01, +1.6025e-01, -1.6673e+01
 +1.9262e+00, +1.6479e-01, +0.0000e+00, +2.8412e-01, +1.2739e-01, -6.1341e-01, +4.7093e-02, -1.6673e+01
 +1.0971e+00, +6.2353e-01, -1.3160e-03, +1.4608e-01, +1.5356e-01, -4.7600e-02, +3.8525e-01, -1.6673e+01
 +1.2183e-01, +1.1521e+00, -2.7412e-04, +5.4003e-01, +1.9941e-02, -6.1341e-01, +1.4852e-01, -1.6673e+01
 +1.8162e+00, +4.5634e-01, -6.1274e-04, +3.4571e-01, +1.1465e-01, -1.3266e-01, +1.3182e-01, -1.6673e+01
 +1.2152e+00, +2.7750e-01, -1.0541e-04, +1.7485e-01, +1.4108e-01, -4.2778e-01, +9.0458e-02, -1.6673e+01
 +2.4507e+00, +8.5259e-01, -3.0058e-04, +6.6143e-02, +1.4795e-01, -3.3474e-01, +2.0947e-01, -1.6673e+01
 +3.5731e-01, +8.9892e-02, -1.0799e-03, +4.0035e-01, +9.1633e-02, -4.2535e-01, +1.8667e-01, -1.6673e+01
 +2.5355e+00, +7.2239e-01, -9.4104e-04, +1.2937e-01, +4.3855e-02, -4.5664e-01, +1.9377e-01, -1.6673e+01
 +2.1737e-01, +9.1709e-01, -5.7417e-04, +2.9647e-01, +1.2441e-01, -1.9524e-01, +4.2882e-01, -1.6673e+01
 +4.4219e-01, +1.1118e+00, -2.0729e-04, +4.6358e-01, +2.0497e-01, -5.4725e-01, +1.7097e-01, -1.6673e+01
 +6.6701e-01, +1.5439e-01, -1.3535e-03, +9.0654e-02, +6.8092e-02, -2.8585e-01, +4.0603e-01, -1.6673e+01
 +8.9183e-01, +3.4910e-01, -9.8664e-04, +2.5776e-01, +1.4865e-01, -2.4446e-02, +1.4817e-01, -1.6673e+01
 +1.1166e+00, +5.4381e-01, -6.1976e-04, +4.2486e-01, +1.1771e-02, -3.7646e-01, +3.8323e-01, -1.6673e+01
 +1.3415e+00, +7.3851e-01, -2.5288e-04, +5.1941e-02, +9.2329e-02, -1.1506e-01, +1.2538e-01, -1.6673e+01
 +2.3107e+00, +5.2768e-01, -1.3079e-03, +5.0229e-01, +1.8074e-01, -1.0463e-01, +4.5162e-01, -1.6673e+01
 +1.5663e+00, +9.3322e-01, -1.3991e-03, +2.1905e-01, +1.7289e-01, -4.6707e-01, +3.6043e-01, -1.6673e+01
 +2.0159e+00, +1.7052e-01, -6.6536e-04, +1.3229e-02, +1.1657e-01, -5.5768e-01, +3.3764e-01, -1.6673e+01
 +2.2407e+00, +3.6523e-01, -2.9848e-04, +1.8033e-01, +1.9713e-01, -2.9628e-01, +7.9786e-02, -1.6673e+01
 +2.4656e+00, +5.5993e-01, -1.4447e-03, +3.4744e-01, +6.0245e-02, -3.4876e-02, +3.1484e-01, -1.6673e+01
 +1.4740e-01, +7.5464e-01, -1.0778e-03, +5.1454e-01, +1.4080e-01, -3.8689e-01, +5.6990e-02, -1.6673e+01
 +3.7222e-01, +9.4935e-01, -7.1096e-04, +1.4162e-01, +3.9235e-03, -1.2549e-01, +2.9205e-01, -1.6673e+01
 +5.9703e-01, +1.1441e+00, -3.4408e-04, +3.0873e-01, +8.4482e-02, -4.7750e-01, +3.4194e-02, -1.6673e+01
 +8.2185e-01, +1.8664e-01, -1.4903e-03, +4.7583e-01, +1.6504e-01, -2.1610e-01, +2.6925e-01, -1.6673e+01
 +1.7911e+00, +1.1279e+00, -1.0322e-03, +3.8615e-01, +3.6008e-02, -2.0567e-01, +1.0258e-01, -1.6673e+01
 +2.0859e+00, +3.3297e-01, -1.6169e-04, +3.3518e-01, +1.0018e-01, -3.6603e-01, +2.1656e-01, -1.6673e+01
 +1.8611e+00, +1.3827e-01, -5.2857e-04, +1.6808e-01, +1.9618e-02, -1.4017e-02, +4.7442e-01, -1.6673e+01
 +1.6363e+00, +1.0957e+00, -8.9545e-04, +9.7346e-04, +1.5650e-01, -2.7542e-01, +2.3936e-01, -1.6673e+01
 +5.8213e-01, +2.8460e-01, -7.1305e-04, +2.7431e-02, +1.7219e-01, -1.6395e-01, +4.2173e-01, -1.6673e+01
 +8.0695e-01, +4.7931e-01, -3.4617e-04, +1.9454e-01, +3.5312e-02, -5.1596e-01, +1.6388e-01, -1.6673e+01
 +1.0318e+00, +6.7401e-01, -1.4924e-03, +3.6164e-01, +1.1587e-01, -2.5456e-01, +3.9893e-01, -1.6673e+01
 +1.2566e+00, +8.6872e-01, -1.1255e-03, +5.2875e-01, +1.9643e-01, -6.0657e-01, +1.4108e-01, -1.6673e+01
 +1.4814e+00, +1.0634e+00, -7.5865e-04, +1.5582e-01, +5.9549e-02, -3.4517e-01, +3.7614e-01, -1.6673e+01
 +1.7062e+00, +1.0602e-01, -3.9177e-04, +3.2293e-01, +1.4011e-01, -8.3768e-02, +1.1828e-01, -1.6673e+01
 +1.9310e+00, +3.0072e-01, -2.4894e-05, +4.9003e-01, +3.2275e-03, -4.3578e-01, +3.5334e-01, -1.6673e+01
 +1.3249e-01, +1.0473e+00, -1.4468e-03, +2.3325e-01, +1.1075e-02, -7.3338e-02, +4.4452e-01, -1.6673e+01
 +2.1559e+00, +4.9543e-01, -1.1711e-03, +1.1711e-01, +8.3786e-02, -1.7438e-01, +9.5487e-02, -1.6673e+01
 +6.2522e-02, +8.8484e-01, -4.3737e-04, +4.5132e-01, +2.7465e-02, -2.6499e-01, +7.2691e-02, -1.6673e+01
 +2.8734e-01, +1.0796e+00, -7.0492e-05, +7.8398e-02, +1.0802e-01, -3.5874e-03, +3.0775e-01, -1.6673e+01
 +5.1216e-01, +1.2214e-01, -1.2167e-03, +2.4550e-01, +1.8858e-01, -3.5560e-01, +4.9895e-02, -1.6673e+01
 +7.3698e-01, +3.1685e-01, -8.4985e-04, +4.1261e-01, +5.1702e-02, -9.4197e-02, +2.8495e-01, -1.6673e+01
 +9.6180e-01, +5.1156e-01, -4.8297e-04, +3.9686e-02, +1.3226e-01, -4.4621e-01, +2.7099e-02, -1.6673e+01
 +1.1866e+00, +7.0626e-01, -1.1609e-04, +2.0679e-01, +2.1282e-01, -1.8481e-01, +2.6216e-01, -1.6673e+01
 +1.4114e+00, +9.0097e-01, -1.2623e-03, +3.7390e-01, +7.5939e-02, -5.3682e-01, +4.3030e-03, -1.6673e+01
 +2.3807e+00, +6.9014e-01, -8.0425e-04, +2.8422e-01, +1.6435e-01, -5.2639e-01, +3.3054e-01, -1.6673e+01
 +1.8863e+00, +1.1521e+00, -1.5131e-03, +0.0000e+00, +2.1744e-01, -6.1341e-01, +4.9291e-01, -1.6673e+01
 +2.7748e-14, +1.0634e-13, -2.8010e-04, +5.9505e-15, +2.1744e-01, -1.2454e-01, +2.9722e-14, +1.0000e+06
